No.,ITEMS,BRAND,SIZE,Outlet,Town,Region,Price
105,CORN FLAKES (Local),Sunshine,18 oz,Massy Stores St. Augustine,Curepe,East,25.99
15,COOKING MARGARINE,Golden Ray,227g,Tru Valu Valpark,Curepe,East,11
18,TABLE MARGARINE,Flora,445g,Tru Valu Valpark,Curepe,East,21
19,EGGS,Large,1 Doz,Tru Valu Valpark,Curepe,East,NA
20,LIQUID MILK (Full Cream),Nestle,1L,Tru Valu Valpark,Curepe,East,13.5
23,POWDERED MILK,Dairy Dairy,225g,Tru Valu Valpark,Curepe,East,NA
33,FLOUR,Ibis,2kg,Tru Valu Valpark,Curepe,East,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Tru Valu Valpark,Curepe,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Tru Valu Valpark,Curepe,East,23
71,TOILET SOAP,Refresh,3pk,Tru Valu Valpark,Curepe,East,14.95
72,TOOTHPASTE,Colgate,170g,Tru Valu Valpark,Curepe,East,16.95
73,DISHWASHING LIQUID,Squeezy,725ml,Tru Valu Valpark,Curepe,East,16.5
74,SOAP POWDER,Breeze Multi Active,900g,Tru Valu Valpark,Curepe,East,25.5
75,SOAP POWDER,Radiante,875g,Tru Valu Valpark,Curepe,East,13.75
82,CORNED BEEF,Target,340g,Tru Valu Valpark,Curepe,East,16
84,INSTANT CHOCOLATE,Nesquik,500g,Tru Valu Valpark,Curepe,East,23.5
91,MAUBY,Matouk’s,750ml,Tru Valu Valpark,Curepe,East,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Tru Valu Valpark,Curepe,East,12
105,CORN FLAKES (Local),Sunshine,18 oz,Tru Valu Valpark,Curepe,East,25.99
15,COOKING MARGARINE,Golden Ray,227g,Cost Cutters,Tunapuna,East,10.5
18,TABLE MARGARINE,Flora,445g,Cost Cutters,Tunapuna,East,19.5
19,EGGS,Large,1 Doz,Cost Cutters,Tunapuna,East,18
20,LIQUID MILK (Full Cream),Nestle,1L,Cost Cutters,Tunapuna,East,11.25
23,POWDERED MILK,Dairy Dairy,225g,Cost Cutters,Tunapuna,East,16.5
33,FLOUR,Ibis,2kg,Cost Cutters,Tunapuna,East,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Cost Cutters,Tunapuna,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Cost Cutters,Tunapuna,East,22
71,TOILET SOAP,Refresh,3pk,Cost Cutters,Tunapuna,East,14.5
72,TOOTHPASTE,Colgate,170g,Cost Cutters,Tunapuna,East,16.95
73,DISHWASHING LIQUID,Squeezy,725ml,Cost Cutters,Tunapuna,East,15
74,SOAP POWDER,Breeze Multi Active,900g,Cost Cutters,Tunapuna,East,25.5
75,SOAP POWDER,Radiante,875g,Cost Cutters,Tunapuna,East,13.5
82,CORNED BEEF,Target,340g,Cost Cutters,Tunapuna,East,13.95
84,INSTANT CHOCOLATE,Nesquik,500g,Cost Cutters,Tunapuna,East,22.5
91,MAUBY,Matouk’s,750ml,Cost Cutters,Tunapuna,East,13.25
95,ORANGE JUICE,Trinidad Citrus,19 oz,Cost Cutters,Tunapuna,East,11.25
105,CORN FLAKES (Local),Sunshine,18 oz,Cost Cutters,Tunapuna,East,26
15,COOKING MARGARINE,Golden Ray,227g,DiskoMart,Tunapuna,East,11.2
18,TABLE MARGARINE,Flora,445g,DiskoMart,Tunapuna,East,21.3
19,EGGS,Large,1 Doz,DiskoMart,Tunapuna,East,19.95
20,LIQUID MILK (Full Cream),Nestle,1L,DiskoMart,Tunapuna,East,13
23,POWDERED MILK,Dairy Dairy,225g,DiskoMart,Tunapuna,East,16.5
33,FLOUR,Ibis,2kg,DiskoMart,Tunapuna,East,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,DiskoMart,Tunapuna,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,DiskoMart,Tunapuna,East,23
71,TOILET SOAP,Refresh,3pk,DiskoMart,Tunapuna,East,14.95
72,TOOTHPASTE,Colgate,170g,DiskoMart,Tunapuna,East,18
73,DISHWASHING LIQUID,Squeezy,725ml,DiskoMart,Tunapuna,East,15.95
74,SOAP POWDER,Breeze Multi Active,900g,DiskoMart,Tunapuna,East,24.95
75,SOAP POWDER,Radiante,875g,DiskoMart,Tunapuna,East,13.5
82,CORNED BEEF,Target,340g,DiskoMart,Tunapuna,East,16.9
84,INSTANT CHOCOLATE,Nesquik,500g,DiskoMart,Tunapuna,East,24
91,MAUBY,Matouk’s,750ml,DiskoMart,Tunapuna,East,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,DiskoMart,Tunapuna,East,12
105,CORN FLAKES (Local),Sunshine,18 oz,DiskoMart,Tunapuna,East,25.99
15,COOKING MARGARINE,Golden Ray,227g,Xtra Foods,Arima,East,10.95
18,TABLE MARGARINE,Flora,445g,Xtra Foods,Arima,East,20.95
19,EGGS,Large,1 Doz,Xtra Foods,Arima,East,19.95
20,LIQUID MILK (Full Cream),Nestle,1L,Xtra Foods,Arima,East,11.95
23,POWDERED MILK,Dairy Dairy,225g,Xtra Foods,Arima,East,16.5
33,FLOUR,Ibis,2kg,Xtra Foods,Arima,East,11.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Xtra Foods,Arima,East,12.99
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Xtra Foods,Arima,East,24.95
71,TOILET SOAP,Refresh,3pk,Xtra Foods,Arima,East,14.95
72,TOOTHPASTE,Colgate,170g,Xtra Foods,Arima,East,14.95
73,DISHWASHING LIQUID,Squeezy,725ml,Xtra Foods,Arima,East,14.95
74,SOAP POWDER,Breeze Multi Active,900g,Xtra Foods,Arima,East,24.95
75,SOAP POWDER,Radiante,875g,Xtra Foods,Arima,East,13.95
82,CORNED BEEF,Target,340g,Xtra Foods,Arima,East,14.95
84,INSTANT CHOCOLATE,Nesquik,500g,Xtra Foods,Arima,East,24.95
91,MAUBY,Matouk’s,750ml,Xtra Foods,Arima,East,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Xtra Foods,Arima,East,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Xtra Foods,Arima,East,25.95
15,COOKING MARGARINE,Golden Ray,227g,Massy Stores,Arima,East,11.2
18,TABLE MARGARINE,Flora,445g,Massy Stores,Arima,East,21.3
19,EGGS,Large,1 Doz,Massy Stores,Arima,East,20.5
20,LIQUID MILK (Full Cream),Nestle,1L,Massy Stores,Arima,East,11.25
23,POWDERED MILK,Dairy Dairy,225g,Massy Stores,Arima,East,16.5
33,FLOUR,Ibis,2kg,Massy Stores,Arima,East,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Massy Stores,Arima,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Massy Stores,Arima,East,23
71,TOILET SOAP,Refresh,3pk,Massy Stores,Arima,East,14.95
72,TOOTHPASTE,Colgate,170g,Massy Stores,Arima,East,15.5
